12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
13824-57-2;F2MoO2;F₂MoO₂;molybdenum difluoride dioxide;диоксид дифторида молибдена
3744-07-8;F2N;F₂N;difluoroamino radical;дифтораминорадикал
14984-78-2;F2N2O;F₂N₂O;nitrosodifluoroamine;нитрозодифторамин
12285-64-2;F2Na2;F₂Na₂;disodium difluoride;дифторид динатрия
13940-76-6;F2Nd;F₂Nd;neodymium difluoride;дифторид неодима
10028-18-9;F2Ni;F₂Ni;nickel difluoride;дифторид никеля
7783-41-7;F2O;F₂O;oxygen difluoride;дифторид кислорода
7783-42-8;F2OS;F₂OS;thionyl fluoride;тионилфторид
14041-22-6;F2OSi;F₂OSi;difluorooxosilane;дифтороксосилан
13537-16-1;F2OTi;F₂OTi;titanium fluoride oxide;оксид фторида титана
7783-44-0;F2O2;F₂O₂;perfluoroperoxide;перфторпероксид
2699-79-8;F2O2S;F₂O₂S;sulfuryl fluoride;сульфурилфторид
14118-73-1;F2O2W;F₂O₂W;tungsten difluoride dioxide;двуокись дифторида вольфрама
13873-52-4;F2P;F₂P;phosphorus difluoride;дифторид фосфора
18820-56-9;F2Pt;F₂Pt;platinum difluoride;дифторид платины
20882-15-9;F2Pu;F₂Pu;plutonium difluoride;дифторид плутония
13814-25-0;F2S;F₂S;sulfur difluoride;дифторид серы
41831-78-1;F2SW;F₂SW;tungsten difluoride monosulfide;моносульфид дифторида вольфрама
13709-35-8;F2S2;F₂S₂;difluorodisulfane;дифтордисульфан
16860-99-4;F2S2;F₂S₂;thiothionyl fluoride;тиотионилфторид
101947-30-2;F2S2;F₂S₂;thiothionyl fluoride;тиотионилфторид
41831-81-6;F2S2W;F₂S₂W;tungsten difluoride disulfide;дисульфид дифторида вольфрама
14017-34-6;F2Sc;F₂Sc;scandium difluoride;дифторид скандия
70421-43-1;F2Se;F₂Se;selenium difluoride;дифторид селена
13966-66-0;F2Si;F₂Si;difluorosilylene;дифторсилилен
7783-47-3;F2Sn;F₂Sn;tin difluoride;дифторид олова
7783-48-4;F2Sr;F₂Sr;strontium fluoride;фторид стронция
28844-11-3;F2Th;F₂Th;thorium difluoride;дифторид тория
13814-20-5;F2Ti;F₂Ti;titanium difluoride;дифторид титана
31970-97-5;F2Tl2;F₂Tl₂;dithallium difluoride;дифторид диталлия
33963-15-4;F2W;F₂W;tungsten difluoride;дифторид вольфрама
13709-36-9;F2Xe;F₂Xe;xenon difluoride;дифторид ксенона
13981-89-0;F2Y;F₂Y;yttrium difluoride;дифторид иттрия
13842-94-9;F2Zr;F₂Zr;zirconium fluoride;фторид циркония
7783-50-8;F3Fe;F₃Fe;iron trifluoride;трифторид железа
7783-51-9;F3Ga;F₃Ga;gallium trifluoride;трифторид галлия
13765-26-9;F3Gd;F₃Gd;gadolinium trifluoride;трифторид гадолиния
13760-78-6;F3Ho;F₃Ho;holmium trifluoride;трифторид гольмия
13709-38-1;F3La;F₃La;lanthanum trifluoride;трифторид лантана
110682-19-4;F3Li3;F₃Li₃;trilithium trifluoride;трифторид трилития
13760-81-1;F3Lu;F₃Lu;lutetium trifluoride;трифторид лютеция
7783-53-1;F3Mn;F₃Mn;manganese trifluoride;трифторид марганца
20193-58-2;F3Mo;F₃Mo;molybdenum trifluoride;трифторид молибдена
22529-29-9;F3MoO;F₃MoO;molybdenum trifluoride oxide;оксид трифторида молибдена
67374-76-9;F3MoS;F₃MoS;molybdenum trifluoride sulfide;сульфид трифторида молибдена
7783-54-2;F3N;F₃N;nitrogen trifluoride;трифторид азота
13847-65-9;F3NO;F₃NO;nitrogen trifluoride oxide;оксид трифторида азота
13709-30-3;F3NO2S;F₃NO₂S;difluoroaminosulfonyl fluoride;дифтораминосульфонилфторид
6816-12-2;F3NO3S;F₃NO₃S;difluoraminooxysulfonyl fluoride;дифтораминооксисульфонилфторид
15930-75-3;F3NS;F₃NS;thiazyl trifluoride;тиазилтрифторид
13782-22-4;F3NaSn;F₃NaSn;sodium trifluorostannate;трифторстаннат натрия
13709-42-7;F3Nd;F₃Nd;neodymium trifluoride;трифторид неодима
13478-20-1;F3OP;F₃OP;phosphoryl fluoride;фосфорилфторид
20263-47-2;F3OTa;F₃OTa;tantalum monoxide trifluoride;трифторид монооксида тантала
13709-31-4;F3OV;F₃OV;vanadium trifluoride oxide;оксид трифторида ванадия
7783-55-3;F3P;F₃P;phosphorus trifluoride;трифторид фосфора
2404-52-6;F3PS;F₃PS;thiophosphoryl fluoride;тиофосфорилфторид
13709-46-1;F3Pr;F₃Pr;praseodymium trifluoride;трифторид празеодима
13842-83-6;F3Pu;F₃Pu;plutonium trifluoride;трифторид плутония
60804-25-3;F3Rh;F₃Rh;rhodium fluoride;фторид родия
30937-38-3;F3S;F₃S;sulfur trifluoride;трифторид серы
41831-79-2;F3SW;F₃SW;tungsten trifluoride monosulfide;моносульфид трифторида вольфрама
7783-56-4;F3Sb;F₃Sb;antimony trifluoride;трифторид сурьмы
13709-47-2;F3Sc;F₃Sc;scandium fluoride;фторид скандия
14835-14-4;F3Si;F₃Si;trifluorosilyl radical;трифторсилильный радикал
13765-24-7;F3Sm;F₃Sm;samarium trifluoride;трифторид самария
13708-63-9;F3Tb;F₃Tb;terbium trifluoride;трифторид тербия
13842-84-7;F3Th;F₃Th;thorium trifluoride;трифторид тория
13470-08-1;F3Ti;F₃Ti;titanium trifluoride;трифторид титана
7783-57-5;F3Tl;F₃Tl;thallium trifluoride;трифторид таллия
13760-79-7;F3Tm;F₃Tm;thulium trifluoride;трифторид тулия
51621-17-1;F3W;F₃W;tungsten trifluoride;трифторид вольфрама
13709-49-4;F3Y;F₃Y;yttrium trifluoride;трифторид иттрия
13760-80-0;F3Yb;F₃Yb;ytterbium trifluoride;трифторид иттербия
13814-22-7;F3Zr;F₃Zr;zirconium trifluoride;трифторид циркония
7783-58-6;F4Ge;F₄Ge;germanium tetrafluoride;тетрафторид германия
12332-08-0;F4Ge2;F₄Ge₂;digermanium tetrafluoride;тетрафторид дигермания
56450-89-6;F4Mg2;F₄Mg₂;dimagnesium tetrafluoride;тетрафторид димагния
58790-41-3;F4Mg2;F₄Mg₂;magnesium fluoride;фторид магния
23412-45-5;F4Mo;F₄Mo;molybdenum tetrafluoride;тетрафторид молибдена
14459-59-7;F4MoO;F₄MoO;molybdenum tetrafluoride oxide;оксид тетрафторида молибдена
70487-60-4;F4MoS;F₄MoS;molybdenum tetrafluoride monosulfide;моносульфид тетрафторида молибдена
10036-47-2;F4N2;F₄N₂;tetrafluorohydrazine;тетрафторгидразин
15007-55-3;F4Na2Sn;F₄Na₂Sn;disodium tetrafluorostannate;тетрафторстаннат динатрия
38448-58-7;F4OOs;F₄OOs;osmium oxide tetrafluoride;тетрафторид оксида осмия
13812-07-2;F4OP2;F₄OP₂;diphosphorus tetrafluoride oxide;оксид тетрафторида дифосфора
17026-29-8;F4ORe;F₄ORe;rhenium tetrafluoride oxide;оксид тетрафторида рения
13709-54-1;F4OS;F₄OS;sulfur tetrafluoride oxide;оксид тетрафторида серы
13520-79-1;F4OW;F₄OW;tungsten tetrafluoride oxide;оксид тетрафторида вольфрама
13774-85-1;F4OXe;F₄OXe;xenon tetrafluoride oxide;оксид тетрафторида ксенона
13824-74-3;F4P2;F₄P₂;diphosphorus tetrafluoride;тетрафторид дифосфора
7783-59-7;F4Pb;F₄Pb;lead tetrafluoride;тетрафторид свинца
13455-15-7;F4Pt;F₄Pt;platinum tetrafluoride;тетрафторид платины
13709-56-3;F4Pu;F₄Pu;plutonium tetrafluoride;тетрафторид плутония
41831-80-5;F4SW;F₄SW;tungsten tetrafluoride monosulfide;моносульфид тетрафторида вольфрама
13465-66-2;F4Se;F₄Se;selenium tetrafluoride;тетрафторид селена
7783-61-1;F4Si;F₄Si;silicon tetrafluoride;тетрафторид кремния
130950-28-6;F4Sn2;F₄Sn₂;ditin tetrafluoride;тетрафторид дитина
7783-63-3;F4Ti;F₄Ti;titanium fluoride;фторид титана
10049-14-6;F4U;F₄U;uranium tetrafluoride;тетрафторид урана
13766-47-7;F4W;F₄W;tungsten tetrafluoride;тетрафторид вольфрама
13709-61-0;F4Xe;F₄Xe;xenon tetrafluoride;тетрафторид ксенона
7783-64-4;F4Zr;F₄Zr;zirconium tetrafluoride;тетрафторид циркония
7783-66-6;F5I;F₅I;iodine pentafluoride;пентафторид йода
13819-84-6;F5Mo;F₅Mo;molybdenum pentafluoride;пентафторид молибдена
23377-53-9;F5ORe;F₅ORe;rhenium monoxide pentafluoride;пентафторид монооксида рения
7647-19-0;F5P;F₅P;phosphorus pentafluoride;пятифтористый фосфор
31479-19-3;F5Pu;F₅Pu;plutonium pentafluoride;пентафторид плутония
10546-01-7;F5S;F₅S;disulfur decafluoride;дисера декафторид
7783-70-2;F5Sb;F₅Sb;antimony pentafluoride;пентафторид сурьмы
7783-71-3;F5Ta;F₅Ta;tantalum pentafluoride;пентафторид тантала
13775-07-0;F5U;F₅U;uranium pentafluoride;пентафторид урана
19357-83-6;F5W;F₅W;tungsten pentafluoride;пятифтористый вольфрам
17114-45-3;F6Fe2;F₆Fe₂;diiron hexafluoride;гексафторид железа
12592-31-3;F6La2;F₆La₂;lanthanum trifluoride dimer;димер трифторида лантана
7783-77-9;F6Mo;F₆Mo;molybdenum hexafluoride;гексафторид молибдена
56564-56-8;F6NP3;F₆NP₃;nitridotriphosphorous hexafluoride;нитридотрифосфорный гексафторид
13768-38-2;F6Os;F₆Os;osmium hexafluoride;гексафторид осмия
13693-06-6;F6Pu;F₆Pu;plutonium hexafluoride;гексафторид плутония
10049-17-9;F6Re;F₆Re;rhenium hexafluoride;гексафторид рения
2551-62-4;F6S;F₆S;sulfur hexafluoride;гексафторид серы
7783-79-1;F6Se;F₆Se;selenium hexafluoride;гексафторид селена
13830-68-7;F6Si2;F₆Si₂;hexafluorodisilane;гексафтордисилан
12324-60-6;F6Sn3;F₆Sn₃;tritin hexafluoride;гексафторид тритина
7783-80-4;F6Te;F₆Te;tellurium hexafluoride;гексафторид теллура
7783-81-5;F6U;F₆U;uranium hexafluoride;гексафторид урана
7783-82-6;F6W;F₆W;tungsten hexafluoride;гексафторид вольфрама
13693-09-9;F6Xe;F₆Xe;xenon hexafluoride;гексафторид ксенона
16921-96-3;F7I;F₇I;iodine fluoride;фторид йода
13693-10-2;F7NS;F₇NS;pentafluorosulfanyldifluoroamine;пентафторсульфанилдифторамин
17029-21-9;F7Re;F₇Re;rhenium heptafluoride;гептафторид рения
14521-14-3;F8Si3;F₈Si₃;octafluorotrisilane;октафтортрисилан
65653-18-1;F10Mo2;F₁₀Mo₂;molybdenum fluoride;фторид молибдена
5714-22-7;F10S2;F₁₀S₂;sulfur fluoride;фторид серы
65653-05-6;F15Mo3;F₁₅Mo₃;molybdenum fluoride;фторид молибдена
1303-18-0;FeAsS;FeAsS;iron arsenic sulfide;сульфид мышьяка железа
7789-46-0;FeBr2;FeBr₂;iron(II) bromide;бромид железа (II)
10031-26-2;FeBr3;FeBr₃;iron(III) bromide;бромид железа (III)
14476-16-5;FeCO3;FeCO₃;siderite;сидерит
15843-42-2;FeC2O4;FeC₂O₄;iron oxalate;оксалат железа
13463-40-6;FeC5O5;FeC₅O₅;iron pentacarbonyl;пентакарбонил железа
102-54-5;FeC10H10;FeC₁₀H₁₀;ferrocene;ферроцен
7758-94-3;FeCl2;FeCl₂;iron(II) chloride;хлорид железа (II)
7705-08-0;FeCl3;FeCl₃;iron(III) chloride;хлорид железа (III)
1308-31-2;FeCr2O4;FeCr₂O₄;chromite (ore);хромит (руда)
41428-55-1;FeF2;FeF₂;iron fluoride;фторид железа
13940-89-1;FeF2_4H2O;FeF₂_₄H₂O;iron(II) fluoride tetrahydrate;тетрагидрат фторида железа (II)
33019-21-5;FeI;FeI;iron monoiodide;моноиодид железа
7783-86-0;FeI2;FeI₂;iron diiodide;дииодид железа
13492-45-0;FeI2_4H2O;FeI₂_₄H₂O;iron(II) iodide tetrahydrate;тетрагидрат йодида железа (II)
15600-49-4;FeI3;FeI₃;iron(III) iodide;йодид железа (III)
13718-70-2;FeMoO4;FeMoO₄;iron(II) orthomolybdate;ортомолибдат железа (II)
1345-25-1;FeO;FeO;iron monoxide;монооксид железа
12411-15-3;FeO2;FeO₂;iron dioxide;диоксид железа
1310-14-1;FeO2H;FeO₂H;goethite;гетит
1317-63-1;FeO2H_nH2O;FeO₂H_nH₂O;limonite;лимонит
18624-44-7;Fe(OH)2;Fe(OH)₂;iron(II) hydroxide;гидроксид железа (II)
11113-66-9;Fe(OH)3;Fe(OH)₃;iron(III) hydroxide;гидроксид железа (III)
7720-78-7;FeO4S;FeO₄S;ferrous sulfate;сульфат железа
15857-43-9;FeO4Se;FeO₄Se;iron(II) selenate;селенат железа(II)
26508-33-8;FeP;FeP;iron(III) phosphide;фосфид железа (III)
58782-48-2;FePO4;FePO₄;iron(III) phosphate;фосфат железа (III)
1317-96-0;FeS;FeS;iron sulfide;сульфид железа
11126-12-8;Fe2S3;Fe₂S₃;iron sulfide;сульфид железа
61027-07-4;FeS2;FeS₂;iron(IV) pyrite;железо(IV) пирит
1310-32-3;FeSe;FeSe;iron(II) selenide;селенид железа(II)
12125-63-2;FeTe;FeTe;iron(II) telluride;теллурид железа (II)
12022-71-8;Fe2O7Ti2;Fe₂O₇Ti₂;iron(II) metatitanate;метатитанат железа (II)
12168-52-4;FeH6O3Ti;FeH₆O₃Ti;ilmenite;ильменит
13870-24-1;FeWO4;FeWO₄;iron(II) orthotungstate;ортовольфрамат железа(II)
92785-64-3;Fe2I2;Fe₂I₂;diiron diiodide;дииодид железа
92785-63-2;Fe2I4;Fe₂I₄;diiron tetraiodide;тетрайодид дижелеза
1317-60-8;Fe2O3;Fe₂O₃;iron oxide;оксид железа
8011-97-0;Fe2O3;Fe₂O₃;venetian red;венецианский красный
1310-43-6;Fe2P;Fe₂P;diiron phosphide;фосфид ди железа
13918-37-1;Fe2SiO4;Fe₂SiO₄;fayalite;фаялит
12001-28-4;Fe3H2Na2O45Si;Fe₃H₂Na₂O₄₅Si;chrysotile;хризотил
1309-38-2;Fe3O4;Fe₃O₄;iron(II,III) oxide;оксид железа (II, III)
12023-53-9;Fe3P;Fe₃P;iron(tri) phosphide;железо (три) фосфид
12172-73-5;Fe7Si8O24H2;Fe₇Si₈O₂₄H₂;amosite;амозит
1303-00-0;GaAs;GaAs;gallium(III) arsenide;арсенид галлия (III)
13450-88-9;GaBr3;GaBr₃;gallium(III) bromide;бромид галлия (III)
2571-06-4;Ga(C2H3O2)3;Ga(C₂H₃O₂)₃;gallium(III) acetate;ацетат галлия (III)
128579-09-9;GaCl2;GaCl₂;gallium(II) chloride;хлорид галлия (II)
13450-90-3;GaCl3;GaCl₃;gallium trichloride;трихлорид галлия
17835-81-3;Ga(ClO4)3;Ga(ClO₄)₃;gallium(III) perchlorate;перхлорат галлия (III)
13450-91-4;GaI3;GaI₃;gallium(III) iodide;йодид галлия (III)
25617-97-4;GaN;GaN;gallium(III) nitride;нитрид галлия (III)
12023-99-3;Ga(OH)3;Ga(OH)₃;gallium(III) hydroxide;гидроксид галлия (III)
12064-03-8;GaSb;GaSb;gallium(III) antimonide;антимонид галлия (III)
12024-14-5;GaTe;GaTe;gallium(II) telluride;теллурид галлия (II)
12024-21-4;Ga2O3;Ga₂O₃;gallium(III) oxide;оксид галлия (III)
12024-22-5;Ga2S3;Ga₂S₃;gallium(III) sulfide;сульфид галлия (III)
12024-27-0;Ga2Te3;Ga₂Te₃;gallium(III) telluride;теллурид галлия (III)
13450-92-5;GeBr4;GeBr₄;germanium(IV) bromide;бромид германия(IV)
13573-08-5;GeI2;GeI₂;germanium(II) iodide;йодид германия (II)
13450-95-8;GeI4;GeI₄;germanium(IV) iodide;йодид германия (IV)
20619-16-3;GeO;GeO;germanium(II) oxide;оксид германия (II)
10035-10-6;HBr;HBr;hydrogen bromide;бромистый водород
6914-07-4;HCN;HCN;hydrocyanic acid;синильная кислота
75-12-7;HCONH2;HCONH₂;formamide;формамид
71-47-6;HCOO⁻;HCOO⁻;formate ion;формиат-ион
64-18-6;HCOOH;HCOOH;formic acid;Муравьиная кислота
540-69-2;HCOONH4;HCOONH₄;ammonium formate;формиат аммония
71-52-3;HCO3⁻;HCO₃⁻;hydrogen carbonate ion;ион гидрокарбоната
50-21-5;HC3H5O3;HC₃H₅O₃;lactic acid;молочная кислота
50-81-7;HC6H7O6;HC₆H₇O₆;ascorbic acid;аскорбиновая кислота
67-03-8;HC12H17ON4SCl2;HC₁₂H₁₇ON₄SCl₂;thiamine hydrochloride;тиамина гидрохлорид
7647-01-0;HCl;HCl;hydrochloric acid;соляная кислота
7790-92-3;HClO;HClO;hypochlorous acid;хлорноватистая кислота
13898-47-0;HClO2;HClO₂;chlorous acid;хлористая кислота
7790-93-4;HClO3;HClO₃;chloric acid;хлорная кислота
7601-90-3;HClO4;HClO₄;perchloric acid;хлорная кислота
14940-63-7;HDO;HDO;semiheavy water;полутяжелая вода
7664-39-3;HF;HF;hydrofluoric acid;плавиковая кислота
10034-85-2;HI;HI;hydroiodic acid;йодистоводородная кислота
14332-21-9;HIO;HIO;hypoiodous acid;гипойодистая кислота
7782-68-5;HIO3;HIO₃;iodic acid;йодистая кислота
14332-28-6;HNO;HNO;nitroxyl;нитроксил
7782-77-6;HNO2;HNO₂;nitrous acid;азотистая кислота
7697-37-2;HNO3;HNO₃;nitric acid;азотная кислота
7782-79-8;HN3;HN₃;hydrazoic acid;азотистоводородная кислота
13517-11-8;HOBr;HOBr;hypobromous acid;бромноватистая кислота
14034-79-8;HOF;HOF;hypofluorous acid;гипофтористая кислота
14066-19-4;HPO4²⁻;HPO₄²⁻;hydrogen phosphate ion;ион гидрофосфата
15181-46-1;HSO3⁻;HSO₃⁻;hydrogen sulfite ion;ион сероводорода
12143-45-2;HSO4⁻;HSO₄⁻;hydrogen sulfate;гидросульфат
13670-17-2;HTO;HTO;partially tritiated water;частично тритированная вода
1333-74-0;H2;H₂;hydrogen;водород
107-13-1;H2C(CH)CN;H₂C(CH)CN;acrylonitrile;акрилонитрил
107-32-4;H2CO3;H₂CO₃;carbonic acid;угольная кислота
40100-16-1;H2CSO;H₂CSO;sulfine;сульфин
144-62-7;H2C2O4;H₂C₂O₄;oxalic acid;Щавелевая кислота
87-69-4;H2C4H4O6;H₂C₄H₄O₆;tartaric acid;Винная кислота
7738-94-5;H2CrO4;H₂CrO₄;chromic acid;хромовая кислота
14448-38-5;H2N2O2;H₂N₂O₂;hyponitrous acid;гипоазотистая кислота
7732-18-5;H2O;H₂O;water;вода
7722-84-1;H2O2;H₂O₂;hydrogen peroxide;пероксид водорода
14066-20-7;H2PO4⁻;H₂PO₄⁻;dihydrogen phosphate ion;ион дигидрофосфата
7783-06-4;H2S;H₂S;hydrogen sulfide;сероводород
7782-99-2;H2SO3;H₂SO₃;sulfurous acid;сернистая кислота
7664-93-9;H2SO4;H₂SO₄;sulfuric acid;серная кислота
13686-28-7;H2S2O3;H₂S₂O₃;thiosulfuric acid;тиосерная кислота
15959-26-9;H2S2O4;H₂S₂O₄;dithionous acid;дитионовая кислота
14970-71-9;H2S2O6;H₂S₂O₆;dithionic acid;дитионовая кислота
8014-95-7;H2S2O7;H₂S₂O₇;disulfuric acid;серная кислота
13445-49-3;H2S2O8;H₂S₂O₈;peroxydisulfuric acid;пероксидисерная кислота
7783-00-8;H2SeO3;H₂SeO₃;selenous acid;селенистая кислота
7783-08-6;H2SeO4;H₂SeO₄;selenic acid;селеновая кислота
7699-41-4;H2SiO3;H₂SiO₃;silicic acid;кремниевая кислота
10049-23-7;H2TeO3;H₂TeO₃;tellurous acid;теллуридная кислота
7778-39-4;H3AsO4;H₃AsO₄;arsenic acid;мышьяковая кислота
13968-08-6;H3O⁺;H₃O⁺;hydronium ion;ион гидроксония
7664-38-2;H3PO4;H₃PO₄;phosphoric acid;фосфорная кислота
7803-68-1;H6TeO6;H₆TeO₆;telluric acid;теллуровая кислота
13777-22-5;HfBr4;HfBr₄;hafnium(IV) bromide;бромид гафния (IV)
13709-52-9;HfF4;HfF₄;hafnium(IV) fluoride;фторид гафния (IV)
14456-34-9;HfOCl2_8H2O;HfOCl₂_₈H₂O;hafnium(IV) oxychloride octahydrate;октагидрат оксихлорида гафния (IV)
15823-43-5;Hf(SO4)2;Hf(SO₄)₂;hafnium(IV) sulfate;сульфат гафния (IV)
10031-18-2;Hg2Br2;Hg₂Br₂;mercury(I) bromide;бромид ртути(I)
7789-47-1;HgBr2;HgBr₂;mercury(II) bromide;бромид ртути(II)
1600-27-7;Hg(C2H3O2)2;Hg(C₂H₃O₂)₂;mercury(II) acetate;ацетат ртути (II)
7487-94-7;HgCl2;HgCl₂;mercury(II) chloride;хлорид ртути (II)
7783-32-6;Hg(IO3)2;Hg(IO₃)₂;mercury(II) iodate;иодат ртути(II)
7774-29-0;HgI2;HgI₂;mercury(II) iodide;йодид ртути (II)
7783-34-8;Hg(NO3)2_H2O;Hg(NO₃)₂_H₂O;mercury(II) nitrate monohydrate;моногидрат нитрата ртути (II)
628-86-4;Hg(CNO)2;Hg(CNO)₂;mercury(II) fulminate;ртуть (II) гремучая
21908-53-2;HgO;HgO;mercury(II) oxide;оксид ртути(II)
1344-48-5;HgS;HgS;mercury(II) sulfide;сульфид ртути(II)
592-85-8;Hg(SCN)2;Hg(SCN)₂;mercury(II) thiocyanate;тиоцианат ртути (II)
20601-83-6;HgSe;HgSe;mercury(II) selenide;селенид ртути(II)
12068-90-5;HgTe;HgTe;mercury(II) telluride;теллурид ртути (II)
37913-38-5;HgWO4;HgWO₄;mercury(II) tungstate;вольфрамат ртути(II)
15385-58-7;Hg2Br2;Hg₂Br₂;mercury(I) bromide;бромид ртути(I)
10112-91-1;Hg2Cl2;Hg₂Cl₂;mercury(I) chloride;хлорид ртути(I)
15385-57-6;Hg2I2;Hg₂I₂;mercury(I) iodide;йодид ртути(I)
7784-37-4;Hg3(AsO4)2;Hg₃(AsO₄)₂;mercury(II) orthoarsenate;ортоарсенат ртути(II)
7782-66-3;Hg3(PO4)2;Hg₃(PO₄)₂;mercury(II) phosphate;фосфат ртути (II)
7789-33-5;IBr;IBr;iodine monobromide;монобромид йода
7789-58-4;IBr3;IBr₃;iodine tribromide;трибромид йода
7790-99-0;ICl;ICl;Iodine monochloride;Монохлорид йода
865-44-1;ICl3;ICl₃;iodine(III) chloride;хлорид йода (III)
15454-31-6;IO3⁻;IO₃⁻;iodate ion;иодат-ион
12029-98-0;I2O5;I₂O₅;iodine pentoxide;пятиокись йода
14900-04-0;I3⁻;I₃⁻;triiodide ion;трийодид-ион
1303-11-3;InAs;InAs;indium(III) arsenide;арсенид индия (III)
14280-53-6;InBr;InBr;indium(I) bromide;бромид индия (I)
13465-09-3;InBr3;InBr₃;indium(III) bromide;бромид индия (III)
13465-10-6;InCl;InCl;indium(I) chloride;хлорид индия (I)
10025-82-8;InCl3;InCl₃;indium(III) chloride;хлорид индия (III)
22519-64-8;InCl3_4H2O;InCl₃_₄H₂O;indium(III) chloride tetrahydrate;тетрагидрат хлорида индия (III)
13966-94-4;InI;InI;indium(I) iodide;йодид индия (I)
13510-35-5;InI3;InI₃;indium(III) iodide;йодид индия (III)
20661-21-6;In(OH)3;In(OH)₃;indium(III) hydroxide;гидроксид индия (III)
22398-80-7;InP;InP;indium(III) phosphide;фосфид индия (III)
14693-82-4;InPO4;InPO₄;indium(III) orthophosphate;ортофосфат индия (III)
12030-14-7;InS;InS;indium(II) sulfide;сульфид индия (II)
1312-41-0;InSb;InSb;indium(III) antimonide;антимонид индия (III)
12030-19-2;InTe;InTe;indium(II) telluride;теллурид индия (II)
1312-43-2;In2O3;In₂O₃;indium(III) oxide;оксид индия (III)
304655-87-6;In2(SO4)3_H2O;In₂(SO₄)₃_H₂O;indium(III) sulfate monohydrate;моногидрат сульфата индия (III)
12030-24-9;In2S3;In₂S₃;indium(III) sulfide;сульфид индия (III)
12056-07-4;In2Se3;In₂Se₃;indium(III) selenide;селенид индия (III)
1312-45-4;In2Te3;In₂Te₃;indium(III) telluride;теллурид индия (III)
10049-24-8;IrBr3;IrBr₃;iridium(III) bromide;бромид иридия (III)
10043-67-1;KAl(SO4)2;KAl(SO₄)₂;potassium alum;квасцы калия
7758-02-3;KBr;KBr;potassium bromide;бромид калия
7758-01-2;KBrO3;KBrO₃;potassium bromate;бромат калия
22207-96-1;KBrO4;KBrO₄;potassium perbromate;пербромат калия
151-50-8;KCN;KCN;potassium cyanide;цианистый калий
333-20-0;KCNS;KCNS;potassium thiocyanate;тиоцианат калия
7447-40-7;KCl;KCl;potassium chloride;хлорид калия
7778-66-7;KClO;KClO;potassium hypochlorite;гипохлорит калия
14314-27-3;KClO2;KClO₂;potassium chlorite;хлорит калия
3811-04-9;KClO3;KClO₃;potassium chlorate;хлорат калия
7778-74-7;KClO4;KClO₄;potassium perchlorate;перхлорат калия
7789-00-6;K2CrO4;K₂CrO₄;potassium chromate;хромат калия
7778-50-9;K2Cr2O7;K₂Cr₂O₇;potassium dichromate;дихромат калия
7758-11-4;K2HPO4;K₂HPO₄;dipotassium phosphate;дикалийфосфат
13464-36-3;K3AsO4;K₃AsO₄;potassium arsenate;арсенат калия
866-84-2;K3C6H5O7;K₃C₆H₅O₇;potassium citrate;цитрат калия
7778-53-2;K3PO4;K₃PO₄;tripotassium phosphate;трикалийфосфат
13455-21-1;KF;KF;potassium fluoride;фторид калия
298-14-6;KHCO3;KHCO₃;potassium bicarbonate;бикарбонат калия
7773-03-7;KHSO3;KHSO₃;potassium bisulfite;бисульфит калия
7646-93-7;KHSO4;KHSO₄;potassium bisulfate;бисульфат калия
7681-11-0;KI;KI;potassium iodide;йодистый калий
7790-21-8;KIO4;KIO₄;potassium periodate;периодат калия
7722-64-7;KMnO4;KMnO₄;potassium permanganate;перманганат калия
7757-79-1;KNO3;KNO₃;potassium nitrate;азотнокислый калий
7758-09-0;KNO2;KNO₂;potassium nitrite;нитрит калия
584-08-7;K2CO3;K₂CO₃;potassium carbonate;карбонат калия
10294-64-1;K2MnO4;K₂MnO₄;potassium manganate;манганат калия
12030-85-2;KNbO3;KNbO₃;potassium niobate;ниобат калия
12136-45-7;K2O;K₂O;potassium oxide;оксид калия
17014-71-0;K2O2;K₂O₂;potassium peroxide;пероксид калия
1312-73-8;K2S;K₂S;potassium sulfide;сульфид калия
10294-66-3;K2S2O3;K₂S₂O₃;potassium thiosulfate;тиосульфат калия
16731-55-8;K2O5S2;K₂O₅S₂;potassium metabisulfite;метабисульфит калия
7727-21-1;K2S2O8;K₂S₂O₈;potassium persulfate;персульфат калия
7778-80-5;K2SO4;K₂SO₄;potassium sulfate;сульфат калия
1310-58-3;KOH;KOH;potassium hydroxide;гидроксид калия
10099-58-8;LaCl3;LaCl₃;lanthanum(III) chloride;хлорид лантана (III)
14913-14-5;LaPO4;LaPO₄;lanthanum(III) phosphate;фосфат лантана (III)
7550-35-8;LiBr;LiBr;lithium bromide;бромид лития
13550-28-2;LiBrO3;LiBrO₃;lithium bromate;бромат лития
7447-41-8;LiCl;LiCl;lithium chloride;хлорид лития
13840-33-0;LiClO;LiClO;lithium hypochlorite;гипохлорит лития
13453-71-9;LiClO3;LiClO₃;lithium chlorate;хлорат лития
7791-03-9;LiClO4;LiClO₄;lithium perchlorate;перхлорат лития
2408-36-8;LiCN;LiCN;lithium cyanide;цианид лития
2388-07-0;LiC2H5O;LiC₂H₅O;lithium ethoxide;этоксид лития
7789-24-4;LiF;LiF;lithium fluoride;фторид лития
5006-97-3;LiHCO3;LiHCO₃;lithium bicarbonate;бикарбонат лития
13453-86-6;LiHSO4;LiHSO₄;lithium hydrogen sulfate;гидросульфат лития
